HOLEID,DEPTH,GRDE_gapi,DENB_g_cc,MC2F_us_f,CADE_mm
test001,-0.0500,73.5,NULL,NULL,NULL
test001,-0.0600,71.96,NULL,NULL,NULL
test001,-0.0700,67.18,NULL,NULL,NULL
test001,-0.0800,66.1,NULL,NULL,NULL
test001,-0.0900,64.25,NULL,NULL,NULL
test001,-0.1000,64.25,NULL,NULL,NULL
test001,-0.1100,60.09,NULL,NULL,NULL
test001,-0.1200,57.78,NULL,NULL,NULL
test001,-0.1300,57.63,NULL,NULL,NULL
test001,-0.1400,61.02,NULL,NULL,NULL
test001,-0.1500,61.48,NULL,NULL,NULL
test001,-0.1600,63.17,NULL,NULL,NULL
test001,-0.1700,63.48,NULL,NULL,NULL
test001,-0.1800,67.33,NULL,NULL,NULL
test001,-0.1900,63.79,NULL,NULL,NULL
test001,-0.2000,65.02,NULL,NULL,NULL
test001,-0.2100,65.64,NULL,NULL,NULL
test001,-0.2200,65.48,NULL,NULL,NULL
test001,-0.2300,63.79,NULL,NULL,NULL
test001,-0.2400,55.78,NULL,NULL,NULL
test001,-0.2500,47.3,NULL,NULL,NULL
test001,-0.2600,46.99,NULL,NULL,NULL
test001,-0.2700,53.31,NULL,NULL,NULL
test001,-0.2800,49,NULL,NULL,NULL
test001,-0.2900,47.15,NULL,NULL,NULL
test001,-0.3000,50.69,NULL,NULL,NULL
test001,-0.3100,47.61,NULL,NULL,NULL
test001,-0.3200,51.15,NULL,NULL,NULL
test001,-0.3300,51.31,NULL,NULL,NULL
test001,-0.3400,52.85,NULL,NULL,NULL
test001,-0.3500,56.7,NULL,NULL,NULL
test001,-0.3600,56.55,NULL,NULL,NULL
test001,-0.3700,52.7,NULL,NULL,NULL
test001,-0.3800,42.68,NULL,NULL,NULL
test001,-0.3900,48.69,NULL,NULL,NULL
test001,-0.4000,54.24,NULL,NULL,NULL
test001,-0.4100,50.69,NULL,NULL,NULL
test001,-0.4200,50.23,NULL,NULL,NULL
test001,-0.4300,42.53,NULL,NULL,NULL
test001,-0.4400,42.37,NULL,NULL,NULL
test001,-0.4500,40.83,NULL,NULL,NULL
test001,-0.4600,38.83,NULL,NULL,NULL
test001,-0.4700,39.14,NULL,NULL,NULL
test001,-0.4800,42.99,NULL,NULL,NULL
test001,-0.4900,46.99,NULL,NULL,NULL
test001,-0.5000,39.14,NULL,NULL,NULL
test001,-0.5100,31.59,NULL,NULL,NULL
test001,-0.5200,37.29,NULL,NULL,NULL
test001,-0.5300,31.59,NULL,NULL,NULL
test001,-0.5400,35.28,NULL,NULL,NULL
test001,-0.5500,33.44,NULL,NULL,NULL
test001,-0.5600,34.98,NULL,NULL,NULL
test001,-0.5700,37.29,NULL,NULL,NULL
test001,-0.5800,38.67,NULL,NULL,NULL
test001,-0.5900,36.98,NULL,NULL,NULL
test001,-0.6000,36.67,NULL,NULL,NULL
test001,-0.6100,36.67,NULL,NULL,NULL
test001,-0.6200,36.52,NULL,NULL,NULL
test001,-0.6300,30.97,NULL,NULL,NULL
test001,-0.6400,36.67,NULL,NULL,NULL
test001,-0.6500,36.98,NULL,NULL,NULL
test001,-0.6600,42.37,NULL,NULL,NULL
test001,-0.6700,36.67,NULL,NULL,NULL
test001,-0.6800,42.22,NULL,NULL,NULL
test001,-0.6900,46.84,NULL,NULL,NULL
test001,-0.7000,52.08,NULL,NULL,NULL
test001,-0.7100,52.39,NULL,NULL,NULL
test001,-0.7200,54.24,NULL,NULL,NULL
test001,-0.7300,56.39,NULL,NULL,NULL
test001,-0.7400,59.94,NULL,NULL,NULL
test001,-0.7500,58.4,NULL,NULL,NULL
test001,-0.7600,56.24,NULL,NULL,NULL
test001,-0.7700,56.86,NULL,NULL,NULL
test001,-0.7800,62.4,NULL,NULL,NULL
test001,-0.7900,52.7,NULL,NULL,NULL
test001,-0.8000,46.22,NULL,NULL,NULL
test001,-0.8100,42.99,NULL,NULL,NULL
test001,-0.8200,40.83,NULL,NULL,NULL
test001,-0.8300,44.99,NULL,NULL,NULL
test001,-0.8400,46.53,NULL,NULL,NULL
test001,-0.8500,40.83,NULL,NULL,NULL
test001,-0.8600,36.67,NULL,NULL,NULL
test001,-0.8700,34.82,NULL,NULL,NULL
test001,-0.8800,32.51,NULL,NULL,NULL
test001,-0.8900,26.96,NULL,NULL,NULL
test001,-0.9000,26.96,NULL,NULL,NULL
test001,-0.9100,31.43,NULL,NULL,NULL
test001,-0.9200,32.66,NULL,NULL,NULL
test001,-0.9300,32.97,NULL,NULL,NULL
test001,-0.9400,33.9,NULL,NULL,NULL
test001,-0.9500,32.51,NULL,NULL,NULL
test001,-0.9600,39.91,NULL,NULL,NULL
test001,-0.9700,43.91,NULL,NULL,NULL
test001,-0.9800,41.91,NULL,NULL,NULL
test001,-0.9900,40.21,NULL,NULL,NULL
test001,-1.0000,43.76,NULL,NULL,NULL
